episode,steps,total_reward,epsilon,goal_reached,collision
1,1000,126.8043,1.0,False,False
2,437,-456.1836,0.99,False,True
3,750,-507.6713,0.9801,False,True
4,438,-515.0143,0.9703,False,True
5,650,-587.4777,0.9606,False,True
6,594,-431.449,0.95099,False,True
7,420,-567.3492,0.94148,False,True
8,1000,63.2476,0.93207,False,False
9,436,-429.1435,0.92274,False,True
10,820,-540.2988,0.91352,False,True
11,460,-543.9867,0.90438,False,True
12,343,-502.8872,0.89534,False,True
13,433,-464.324,0.88638,False,True
14,990,-510.9297,0.87752,False,True
15,744,-497.7529,0.86875,False,True
16,347,-466.4763,0.86006,False,True
17,264,-468.6852,0.85146,False,True
18,364,-476.1434,0.84294,False,True
19,1000,40.8065,0.83451,False,False
20,373,-472.4469,0.82617,False,True
21,441,-529.1517,0.81791,False,True
22,621,-387.293,0.80973,False,True
23,966,-481.9847,0.80163,False,True
24,1000,166.2864,0.79361,False,False
25,357,-451.6456,0.78568,False,True
26,687,-377.1813,0.77782,False,True
27,1000,117.0425,0.77004,False,False
28,1000,160.3684,0.76234,False,False
29,1000,-60.4241,0.75472,False,False
30,596,-534.902,0.74717,False,True
31,403,-436.286,0.7397,False,True
32,1000,147.355,0.7323,False,False
33,1000,54.284,0.72498,False,False
34,697,-524.393,0.71773,False,True
35,994,-423.2995,0.71055,False,True
36,828,-519.6394,0.70345,False,True
37,688,-470.7905,0.69641,False,True
38,375,-547.4576,0.68945,False,True
39,804,-316.565,0.68255,False,True
40,302,-463.7946,0.67573,False,True
41,305,-464.1135,0.66897,False,True
42,1000,62.0554,0.66228,False,False
43,316,-451.3503,0.65566,False,True
44,570,-365.3273,0.6491,False,True
45,426,-408.7139,0.64261,False,True
46,1000,203.9215,0.63619,False,False
47,342,-427.4302,0.62982,False,True
48,1000,125.1508,0.62353,False,False
49,791,-490.9617,0.61729,False,True
50,710,-380.3726,0.61112,False,True
51,279,-492.0745,0.60501,False,True
52,1000,110.0405,0.59896,False,False
53,456,-451.5815,0.59297,False,True
54,975,-503.7269,0.58704,False,True
55,227,-471.1667,0.58117,False,True
56,844,-431.0754,0.57535,False,True
57,699,-523.6683,0.5696,False,True
58,255,-457.5802,0.56391,False,True
59,830,-550.0686,0.55827,False,True
60,818,-389.2884,0.55268,False,True
61,1000,166.4124,0.54716,False,False
62,277,-456.1877,0.54169,False,True
63,444,-379.4107,0.53627,False,True
64,1000,170.2268,0.53091,False,False
65,329,-433.0303,0.5256,False,True
66,272,-480.5567,0.52034,False,True
67,353,-548.6836,0.51514,False,True
68,926,-391.3508,0.50999,False,True
69,260,-484.5798,0.50489,False,True
70,475,-373.3292,0.49984,False,True
71,1000,198.5298,0.49484,False,False
72,504,-357.8388,0.48989,False,True
73,634,-330.9193,0.48499,False,True
74,325,-457.372,0.48014,False,True
75,1000,215.9863,0.47534,False,False
76,276,-457.5674,0.47059,False,True
77,567,-315.135,0.46588,False,True
78,845,743.78,0.46122,True,False
79,899,739.6356,0.45661,True,False
80,331,-459.8781,0.45204,False,True
81,543,-383.3236,0.44752,False,True
82,910,-469.128,0.44305,False,True
83,438,-377.0531,0.43862,False,True
84,283,-449.944,0.43423,False,True
85,460,-372.0066,0.42989,False,True
86,976,736.0985,0.42559,True,False
87,1000,195.0812,0.42133,False,False
88,1000,178.2229,0.41712,False,False
89,571,-481.9541,0.41295,False,True
90,297,-497.0247,0.40882,False,True
91,931,-449.2271,0.40473,False,True
92,268,-454.1388,0.40068,False,True
93,560,-342.2444,0.39668,False,True
94,304,-425.1906,0.39271,False,True
95,992,-366.0547,0.38878,False,True
96,1000,226.7384,0.3849,False,False
97,880,-412.1778,0.38105,False,True
98,316,-456.8533,0.37724,False,True
99,435,-407.6608,0.37346,False,True
100,464,-375.5472,0.36973,False,True
101,295,-460.3208,0.36603,False,True
102,455,-391.3692,0.36237,False,True
103,474,-368.2782,0.35875,False,True
104,385,-544.8501,0.35516,False,True
105,1000,5.9171,0.35161,False,False
106,842,742.641,0.34809,True,False
107,449,-356.6155,0.34461,False,True
108,227,-448.8509,0.34117,False,True
109,445,-382.8494,0.33775,False,True
110,274,-446.4989,0.33438,False,True
111,435,-375.1488,0.33103,False,True
112,568,-370.2625,0.32772,False,True
113,1000,190.3927,0.32445,False,False
114,299,-430.1415,0.3212,False,True
115,222,-453.0415,0.31799,False,True
116,246,-460.5256,0.31481,False,True
117,248,-449.0804,0.31166,False,True
118,1000,214.7413,0.30854,False,False
119,1000,195.2487,0.30546,False,False
120,820,745.5644,0.3024,True,False
